zone,severity,latitude,longitude,population,daily_water_need_liters,daily_food_need_kg,daily_medical_cases,water_stock_liters,food_stock_kg,medical_kit_stock,primary_ngo,nearest_supply_route,conflict_risk,warehouse_lat,warehouse_long,restock_interval_days,next_restock_date,transit_time_hours,maintenance_type,maintenance_interval_days,next_maintenance_date,fallback_warehouse_lat,fallback_warehouse_long,fallback_transit_time_hours,fallback_trigger,route_priority,priority_index
Zone_185,Severe,32.51254864,45.91897674,12674,25348,6337.0,168,87062.63796,42313.45543,697.4820248,GlobalRelief,R-17 Mountain Pass,Low,32.19775615,45.42116084,7,2026-04-04,4.715064148,Routine Inspection,118,2026-07-24,33.0504209,45.62861176,9.454842729,Conflict_Risk_Medium,Auto-Switch,60
Zone_186,Moderate,36.68614244,47.62982891,22748,45496,11374.0,131,159893.6547,91662.70376,229.1607788,GlobalRelief,SR Coastal Highway,Medium,36.86745562,48.01857532,5,2026-04-02,5.414831995,Structural Check,39,2026-05-06,36.01048668,47.702335,4.239815981,Conflict_Risk_Medium,Auto-Switch,42
Zone_187,Moderate,35.43942861,47.22722689,28678,57356,14339.0,74,362932.4126,90099.36468,556.5555675,ReliefAid Intl,R-22 Desert Track,Medium,35.4728235,46.99722894,7,2026-04-04,2.745480566,Structural Check,37,2026-05-04,35.30668356,46.61682701,6.698412854,Conflict_Risk_High,Primary,83
Zone_188,Severe,32.3391853,46.59638866,34038,68076,17019.0,100,541666.9971,38651.28116,380.3610691,MedGlobal,SR Lake Access,Low,32.35358916,46.7643254,12,2026-04-09,8.446142487,Generator Service,41,2026-05-08,32.93590373,46.08710755,8.62497321,Primary_Maintenance,Fallback,31
Zone_189,Severe,33.50481783,46.73068406,32918,65836,16459.0,187,184745.9581,161874.5123,1504.660443,RescueFront,R-17 Mountain Pass,Low,33.26158735,47.03703934,11,2026-04-08,3.966040875,Generator Service,93,2026-06-29,33.299234,46.28419704,4.508172939,Conflict_Risk_High,Primary,62
Zone_190,Critical,35.54086044,45.98990942,34315,68630,17157.5,230,782085.9226,36118.8065,1146.295536,RescueFront,SR River Route,Low,35.07574075,45.65405716,6,2026-04-03,6.1274328,Routine Inspection,88,2026-06-24,35.4830808,46.17468435,6.69161303,Conflict_Risk_High,Auto-Switch,79
Zone_191,Critical,32.33675301,43.56172115,8676,17352,4338.0,135,165734.7853,41726.78362,724.5990919,HopeBridge,SR River Route,High,32.24702215,43.50423063,4,2026-04-01,5.778036242,Vehicle Maintenance,96,2026-07-02,33.01091096,43.72382686,4.684794365,Route_Disruption,Primary,36
Zone_192,Moderate,34.9108523,47.44317018,7426,14852,3713.0,162,116829.3843,40594.39585,1296.191915,ReliefAid Intl,R-22 Desert Track,Low,34.51741178,47.43700612,4,2026-04-01,7.103099326,Generator Service,79,2026-06-15,34.4899057,47.5142422,8.317864985,Conflict_Risk_High,Auto-Switch,47
Zone_193,Moderate,33.72941528,46.02439387,29648,59296,14824.0,220,609822.9943,93812.1899,977.0793955,HopeBridge,R-04 Pine Road,High,34.13540444,45.83651334,9,2026-04-06,3.909940212,Generator Service,52,2026-05-19,33.12077255,45.67509587,6.950388175,Conflict_Risk_High,Auto-Switch,80
Zone_194,Moderate,35.10457759,45.36264379,29473,58946,14736.5,199,165158.8857,108393.2165,992.6410755,RescueFront,SR Lake Access,Low,34.64582791,45.34439962,6,2026-04-03,6.913527742,Vehicle Maintenance,69,2026-06-05,35.60776922,45.18221135,8.991831023,Conflict_Risk_Medium,Primary,37
Zone_195,Severe,32.22871017,42.66593682,7962,15924,3981.0,221,107779.8229,26950.70886,969.2428424,GlobalRelief,SR Harbor Link,Low,32.16036102,42.48348247,7,2026-04-04,4.486261249,Routine Inspection,107,2026-07-13,32.74456165,42.10130242,9.26190602,Conflict_Risk_Medium,Fallback,84
Zone_196,Severe,36.35768403,44.68233326,34943,69886,17471.5,127,580118.8826,102943.5838,546.870209,HopeBridge,R-17 Mountain Pass,Medium,35.90992961,44.54308101,4,2026-04-01,4.672546278,Generator Service,116,2026-07-22,36.318593,44.29937811,7.541134377,Conflict_Risk_Medium,Primary,72
Zone_197,Moderate,36.86744485,44.76214963,5859,11718,2929.5,242,120537.5475,31856.10176,1387.511644,MedGlobal,R-04 Pine Road,Medium,36.46298872,44.93148081,11,2026-04-08,6.372631422,Structural Check,106,2026-07-12,36.88733489,45.31893694,8.077738723,Conflict_Risk_Medium,Primary,88
Zone_198,Moderate,36.84438928,47.18738166,17048,34096,8524.0,72,335323.7812,93246.89245,596.10204,SolidarityAid,R-09 Hill Corridor,Low,37.00325594,47.31997493,4,2026-04-01,7.097857516,Routine Inspection,105,2026-07-11,37.31451819,47.8589501,6.844540699,Conflict_Risk_High,Fallback,59
Zone_199,Moderate,35.74825916,45.27988932,9138,18276,4569.0,234,87189.17608,24481.4497,995.8840649,RescueFront,SR Harbor Link,Low,35.89537042,45.01215505,8,2026-04-05,6.334633135,Vehicle Maintenance,47,2026-05-14,36.08224246,45.48661274,5.691001131,Primary_Maintenance,Fallback,88
Zone_200,Moderate,32.6504312,44.28240329,7424,14848,3712.0,147,169397.8876,30255.38927,840.5889953,RescueFront,SR Lake Access,Low,32.1834834,44.67988618,9,2026-04-06,7.849216884,Vehicle Maintenance,50,2026-05-17,32.3216398,44.8659559,7.536825461,Route_Disruption,Primary,38
Zone_201,Moderate,35.79131598,47.86080197,30640,61280,15320.0,199,198759.1316,172642.2385,1400.27264,MedGlobal,R-04 Pine Road,Low,35.29244745,48.22359052,5,2026-04-02,3.853533692,Structural Check,30,2026-04-27,35.11496668,48.06064063,9.358020364,Route_Disruption,Auto-Switch,97
Zone_202,Critical,32.12293458,42.66432356,15409,30818,7704.5,177,331334.6786,89530.79705,606.217038,HopeBridge,SR Ridge Road,Low,31.70175266,42.67340687,10,2026-04-07,7.854008759,Structural Check,67,2026-06-03,32.09451481,42.01079864,5.916762663,Primary_Maintenance,Primary,68
Zone_203,Critical,32.11061776,44.53529057,9017,18034,4508.5,180,211167.3646,31963.41834,629.5869439,ReliefAid Intl,SR Harbor Link,High,32.37361666,44.46854131,10,2026-04-07,2.850612919,Structural Check,70,2026-06-06,32.61309501,45.23075819,5.200870185,Primary_Maintenance,Auto-Switch,40
Zone_204,Moderate,33.6180511,42.25214805,15451,30902,7725.5,76,116547.9817,50433.98033,714.4545789,GlobalRelief,R-31 Eastern Bypass,Medium,33.70262757,42.12900403,4,2026-04-01,6.286947074,Routine Inspection,71,2026-06-07,34.17221964,41.69068127,5.71905857,Route_Disruption,Fallback,31
Zone_205,Moderate,34.44321595,46.43942472,33327,66654,16663.5,71,614593.9144,79767.22733,533.3385924,SolidarityAid,R-31 Eastern Bypass,Medium,33.9813342,46.64669264,7,2026-04-04,5.559599234,Vehicle Maintenance,38,2026-05-05,35.08193263,46.69512325,6.047783411,Conflict_Risk_High,Fallback,52
Zone_206,Critical,35.85203709,47.50845931,15278,30556,7639.0,156,73421.64312,88526.22239,966.3700934,ReliefAid Intl,R-17 Mountain Pass,Low,35.8401341,47.68012537,7,2026-04-04,5.215133613,Structural Check,52,2026-05-19,36.38342562,47.16243,3.514927203,Route_Disruption,Auto-Switch,92
Zone_207,Critical,35.41647688,43.68022398,29944,59888,14972.0,201,362575.6215,51326.15767,1372.725578,ReliefAid Intl,R-17 Mountain Pass,Low,35.62850624,43.37640458,8,2026-04-05,4.020928188,Structural Check,107,2026-07-13,35.52853786,43.52899754,6.489092883,Primary_Maintenance,Primary,51
Zone_208,Moderate,34.22951353,47.15005006,15996,31992,7998.0,130,229153.3531,62370.76949,164.2803484,MedGlobal,R-17 Mountain Pass,Low,34.59846493,47.32150809,4,2026-04-01,5.274262845,Vehicle Maintenance,40,2026-05-07,34.15196137,47.35435792,6.460199736,Conflict_Risk_High,Fallback,90
Zone_209,Critical,33.36813333,43.75330938,29726,59452,14863.0,20,464109.1997,71721.44626,131.2585338,HopeBridge,SR Lake Access,Medium,33.80216982,43.50574058,4,2026-04-01,3.051526817,Generator Service,100,2026-07-06,33.75292312,43.66439167,7.119106793,Route_Disruption,Auto-Switch,55
Zone_210,Critical,36.9856225,47.46462097,6134,12268,3067.0,63,139356.7816,14691.18426,351.8915311,RescueFront,SR Ridge Road,Medium,36.81306306,46.98317931,10,2026-04-07,4.400586137,Routine Inspection,60,2026-05-27,37.32137279,47.11538545,5.539740213,Conflict_Risk_High,Auto-Switch,41
Zone_211,Severe,34.13090651,46.52377142,26550,53100,13275.0,246,463165.115,80309.57997,1454.289791,RescueFront,R-04 Pine Road,Low,33.76673894,46.7229801,12,2026-04-09,2.641425964,Generator Service,117,2026-07-23,34.18430731,46.29199608,7.291753172,Conflict_Risk_High,Primary,61
Zone_212,Moderate,34.25693512,46.82944066,10119,20238,5059.5,94,137877.0318,60652.92859,398.0725575,MedGlobal,R-09 Hill Corridor,High,33.99386104,46.97423426,4,2026-04-01,5.717002899,Structural Check,55,2026-05-22,33.67919344,46.60760802,9.147514172,Primary_Maintenance,Auto-Switch,38
Zone_213,Moderate,32.81811911,42.10803933,10694,21388,5347.0,117,215949.2968,13633.04843,202.7920143,HopeBridge,SR Coastal Highway,Medium,33.0942906,42.0188486,5,2026-04-02,2.62249126,Routine Inspection,59,2026-05-26,33.41463299,42.7510928,9.688296933,Conflict_Risk_Medium,Auto-Switch,98
Zone_214,Critical,35.97404774,47.77686214,32360,64720,16180.0,227,744624.8417,125968.0662,621.9920543,MedGlobal,SR River Route,Low,36.44553196,47.8025482,9,2026-04-06,3.042240185,Generator Service,63,2026-05-30,35.9118913,48.19492036,7.085285513,Route_Disruption,Primary,62
Zone_215,Moderate,35.46841113,46.36002595,27520,55040,13760.0,28,122225.2082,38881.92895,267.5876677,RescueFront,R-09 Hill Corridor,Low,35.43480475,46.80719514,9,2026-04-06,2.55553421,Vehicle Maintenance,75,2026-06-11,35.27707842,46.30199423,3.298136678,Primary_Maintenance,Fallback,53
Zone_216,Critical,33.10384806,43.82850657,26869,53738,13434.5,51,635463.2813,47628.10091,238.5930991,ReliefAid Intl,R-04 Pine Road,Medium,32.90920128,43.92370675,5,2026-04-02,4.47851916,Structural Check,98,2026-07-04,33.28524242,43.40825586,9.784651981,Route_Disruption,Fallback,98
Zone_217,Severe,32.41190523,46.97636799,9164,18328,4582.0,34,52442.29845,29304.77399,176.8050457,GlobalRelief,SR Ridge Road,High,32.34109581,47.13425192,12,2026-04-09,7.472729954,Routine Inspection,34,2026-05-01,32.65527837,47.41179054,7.941034426,Conflict_Risk_Medium,Fallback,67
Zone_218,Moderate,35.40249651,43.68912719,23730,47460,11865.0,159,481427.9654,84296.09458,234.4277093,HopeBridge,SR Lake Access,Low,35.20730966,43.25303851,7,2026-04-04,7.894826546,Routine Inspection,90,2026-06-26,34.99745959,43.20918265,5.35174554,Conflict_Risk_Medium,Auto-Switch,40
Zone_219,Moderate,35.27255607,47.23652304,10039,20078,5019.5,244,96441.61162,23029.08494,326.4954401,SolidarityAid,SR Harbor Link,Low,35.02904359,46.9025175,10,2026-04-07,2.467281455,Routine Inspection,112,2026-07-18,35.74427045,46.83117014,4.030103907,Conflict_Risk_Medium,Auto-Switch,61
Zone_220,Moderate,33.36629763,42.67548234,26281,52562,13140.5,225,174600.2717,67865.04928,1677.29243,SolidarityAid,R-09 Hill Corridor,Medium,33.46004839,42.47643462,9,2026-04-06,6.124575916,Routine Inspection,67,2026-06-03,33.07220957,42.48790109,4.003930286,Conflict_Risk_Medium,Primary,93
Zone_221,Moderate,36.75431781,46.22211586,19631,39262,9815.5,204,251220.1213,28167.24787,1191.941803,ReliefAid Intl,SR Harbor Link,Low,36.27005379,46.26149518,6,2026-04-03,6.44850526,Structural Check,57,2026-05-24,36.31567531,46.75460334,4.174210843,Route_Disruption,Auto-Switch,49
Zone_222,Severe,32.75528946,45.24419086,15442,30884,7721.0,155,260647.55,38853.59951,864.644848,MedGlobal,SR Coastal Highway,Medium,32.51484171,45.52078176,11,2026-04-08,5.469504626,Structural Check,55,2026-05-22,32.62424925,44.7286922,3.319007651,Conflict_Risk_High,Auto-Switch,63
Zone_223,Critical,34.16167401,42.57920682,13252,26504,6626.0,91,153975.477,77296.16219,290.1189904,MedGlobal,R-04 Pine Road,Medium,34.32305608,42.4004477,10,2026-04-07,6.3354016,Vehicle Maintenance,90,2026-06-26,34.48445812,42.05033469,9.315079321,Conflict_Risk_High,Fallback,71
Zone_224,Severe,36.7180796,43.45136297,26425,52850,13212.5,174,134537.8183,151244.4628,1340.279646,RescueFront,SR Ridge Road,Low,36.2501423,43.3077454,12,2026-04-09,3.51898965,Vehicle Maintenance,52,2026-05-19,37.36972105,43.44292795,6.78537763,Conflict_Risk_Medium,Auto-Switch,37
Zone_225,Severe,34.09863658,42.07442422,32586,65172,16293.0,209,521024.8139,87147.71981,525.4530053,ReliefAid Intl,R-04 Pine Road,Low,33.6818384,41.8305751,6,2026-04-03,5.182687377,Vehicle Maintenance,75,2026-06-11,34.53163035,41.76139898,7.899715889,Conflict_Risk_Medium,Auto-Switch,95
Zone_226,Critical,35.19262974,44.81260779,25285,50570,12642.5,31,557485.3367,97455.20889,83.99179348,RescueFront,SR River Route,Medium,34.98602588,44.56721712,4,2026-04-01,4.540693019,Generator Service,59,2026-05-26,35.80911747,44.90882691,8.796759565,Conflict_Risk_High,Auto-Switch,50
Zone_227,Moderate,33.98797199,43.80759156,22721,45442,11360.5,84,265024.7266,126055.5844,432.2984015,RescueFront,SR Lake Access,Low,34.36577679,44.25645541,5,2026-04-02,2.583101684,Vehicle Maintenance,96,2026-07-02,33.48482012,43.73988292,8.540787044,Primary_Maintenance,Primary,99
Zone_228,Severe,33.37107601,45.59014491,22568,45136,11284.0,126,187915.9625,23265.78255,450.6413636,SolidarityAid,SR River Route,Low,33.63596217,45.72560209,4,2026-04-01,6.066116858,Structural Check,62,2026-05-29,32.77072353,45.49908765,9.178239366,Conflict_Risk_Medium,Auto-Switch,34
Zone_229,Moderate,36.91988824,43.78342685,25810,51620,12905.0,61,331698.426,130428.7148,196.8571767,RescueFront,R-04 Pine Road,High,36.44204487,43.43932809,8,2026-04-05,5.218898752,Generator Service,32,2026-04-29,37.00067491,43.240189,9.770782358,Conflict_Risk_High,Primary,96
Zone_230,Moderate,34.04667003,43.79951467,6551,13102,3275.5,209,32540.4824,37614.8447,1422.692009,RescueFront,SR River Route,Low,34.04838285,44.02176325,13,2026-04-10,3.788631175,Structural Check,98,2026-07-04,33.75308651,43.29698424,6.073494303,Primary_Maintenance,Fallback,72
Zone_231,Moderate,36.47049602,46.45915919,17625,35250,8812.5,134,359721.8735,25673.08034,919.0719247,SolidarityAid,R-22 Desert Track,Medium,36.24518351,46.68118034,5,2026-04-02,5.078954193,Generator Service,112,2026-07-18,36.92977298,46.9086692,9.652348267,Conflict_Risk_High,Auto-Switch,45
Zone_232,Severe,33.14977303,42.28885702,6629,13258,3314.5,158,136072.2647,11980.18355,1330.463273,MedGlobal,R-04 Pine Road,Low,33.29841869,42.45532721,6,2026-04-03,7.03943712,Vehicle Maintenance,71,2026-06-07,33.39055605,42.82909285,8.063029638,Primary_Maintenance,Primary,64
Zone_233,Severe,33.06552352,47.41736997,30903,61806,15451.5,122,487031.5664,179352.715,580.6440065,HopeBridge,SR Ridge Road,Medium,33.2870774,47.05209042,11,2026-04-08,7.210775458,Vehicle Maintenance,91,2026-06-27,33.72454295,47.04592692,3.494677332,Route_Disruption,Fallback,72
Zone_234,Severe,32.15567041,47.11358325,22910,45820,11455.0,190,253431.7437,84485.22345,314.9755057,GlobalRelief,R-09 Hill Corridor,Low,32.51853299,47.02157473,13,2026-04-10,6.221919837,Vehicle Maintenance,87,2026-06-23,31.81237971,46.57242795,7.772481848,Primary_Maintenance,Auto-Switch,68
Zone_235,Critical,35.25833413,46.0068281,31249,62498,15624.5,114,624844.6071,33467.15315,394.7817109,RescueFront,SR Ridge Road,High,35.23375036,45.61358443,8,2026-04-05,5.040360917,Generator Service,86,2026-06-22,35.23843189,45.38161144,7.807016617,Conflict_Risk_Medium,Primary,39
Zone_236,Moderate,33.84263172,45.55932942,6361,12722,3180.5,36,96011.28329,14554.98572,353.5217701,HopeBridge,R-22 Desert Track,Medium,34.33708181,45.87594992,7,2026-04-04,5.742372655,Structural Check,30,2026-04-27,33.84436839,45.71094608,9.341023947,Primary_Maintenance,Primary,49
Zone_237,Severe,36.32179125,47.35381499,31149,62298,15574.5,244,639135.3096,101225.4775,1553.383831,SolidarityAid,R-09 Hill Corridor,Low,36.80177736,47.50898713,8,2026-04-05,4.502599914,Routine Inspection,102,2026-07-08,35.95663876,47.65530949,5.610524927,Primary_Maintenance,Fallback,30
Zone_238,Critical,34.36604953,43.11198108,32262,64524,16131.0,179,536490.4713,144035.1364,1322.386444,HopeBridge,R-22 Desert Track,Medium,34.74821626,43.11918501,13,2026-04-10,2.822616229,Structural Check,89,2026-06-25,34.49218029,42.93391506,7.094380502,Conflict_Risk_Medium,Auto-Switch,35
Zone_239,Moderate,36.84096714,42.47381497,9370,18740,4685.0,240,184477.5857,43718.56372,255.892912,GlobalRelief,R-09 Hill Corridor,Low,36.91583663,42.31683045,9,2026-04-06,4.506533883,Vehicle Maintenance,98,2026-07-04,36.76156752,42.72536119,3.085312857,Route_Disruption,Auto-Switch,82
Zone_240,Critical,32.92762758,43.43706102,10283,20566,5141.5,232,164232.4652,61462.59709,1314.013569,HopeBridge,SR Ridge Road,Medium,32.82563402,43.12131049,10,2026-04-07,5.447162914,Generator Service,88,2026-06-24,32.85303776,43.73520336,5.324526695,Primary_Maintenance,Auto-Switch,75
Zone_241,Moderate,36.34311584,46.76746967,12610,25220,6305.0,104,154886.3774,30737.58112,139.1268234,HopeBridge,R-04 Pine Road,High,36.20750215,46.37391726,12,2026-04-09,5.892421095,Generator Service,75,2026-06-11,36.15094715,47.37694887,3.435706083,Route_Disruption,Primary,95
Zone_242,Moderate,35.88298426,42.2080216,15558,31116,7779.0,187,360306.4338,57426.14172,1145.014447,HopeBridge,R-17 Mountain Pass,Medium,35.39510901,42.67726221,4,2026-04-01,8.082706344,Vehicle Maintenance,63,2026-05-30,35.20668536,41.59884469,6.653110809,Conflict_Risk_High,Auto-Switch,67
Zone_243,Moderate,35.85460922,45.49684101,19924,39848,9962.0,170,295319.0369,73053.69184,1578.7794,HopeBridge,R-31 Eastern Bypass,Low,35.60378372,45.19648965,7,2026-04-04,7.052667393,Generator Service,54,2026-05-21,35.88554255,45.06604942,8.722133554,Conflict_Risk_High,Primary,62
Zone_244,Severe,36.22391614,47.9726251,19839,39678,9919.5,75,319443.4192,60076.98151,728.6829131,ReliefAid Intl,R-31 Eastern Bypass,Medium,36.44272438,47.53249972,12,2026-04-09,2.987951649,Vehicle Maintenance,71,2026-06-07,35.99326311,47.36856148,4.445098845,Conflict_Risk_Medium,Primary,96
Zone_245,Critical,35.80511995,47.13417656,16949,33898,8474.5,153,142536.9,31284.62469,897.341034,RescueFront,R-22 Desert Track,Low,35.90875205,47.59584334,8,2026-04-05,3.132184343,Structural Check,58,2026-05-25,35.10696777,47.64936807,6.692087319,Route_Disruption,Fallback,64
Zone_246,Moderate,35.13110161,45.12867413,15626,31252,7813.0,105,258032.3847,91994.68128,538.003541,SolidarityAid,R-31 Eastern Bypass,High,35.5475238,45.17762588,11,2026-04-08,2.653215935,Generator Service,54,2026-05-21,34.8622228,45.53829616,4.428060456,Conflict_Risk_Medium,Primary,74
Zone_247,Severe,32.65622439,42.38184546,6993,13986,3496.5,197,107917.0459,36829.23543,1872.515308,GlobalRelief,SR Ridge Road,Medium,32.20624666,42.67850219,4,2026-04-01,6.798181227,Routine Inspection,83,2026-06-19,32.34630405,42.48634435,3.844819275,Conflict_Risk_Medium,Fallback,51
Zone_248,Moderate,32.1626309,46.98824109,5869,11738,2934.5,121,45172.33115,20492.58272,854.561107,SolidarityAid,SR Harbor Link,Low,31.8179075,46.53200693,7,2026-04-04,6.58979481,Generator Service,102,2026-07-08,32.01345831,46.40536986,6.576977544,Primary_Maintenance,Fallback,97
Zone_249,Moderate,36.60423924,45.59387105,6014,12028,3007.0,184,31223.13607,24153.58986,291.4732069,ReliefAid Intl,R-22 Desert Track,Low,36.89348303,45.66081691,12,2026-04-09,8.411358861,Vehicle Maintenance,96,2026-07-02,36.08883202,45.27650835,3.554040347,Conflict_Risk_High,Auto-Switch,46
Zone_250,Moderate,35.08325157,42.68959798,15103,30206,7551.5,211,242964.7761,32264.61846,1095.412872,ReliefAid Intl,R-09 Hill Corridor,High,34.9417592,42.58780795,4,2026-04-01,5.393152215,Routine Inspection,44,2026-05-11,35.09400893,42.40640577,7.111482418,Conflict_Risk_Medium,Fallback,34
Zone_251,Severe,35.98268645,42.56314371,21986,43972,10993.0,73,423754.7647,81764.51265,230.8409771,ReliefAid Intl,SR Lake Access,High,35.60103179,42.83510814,4,2026-04-01,7.371697038,Vehicle Maintenance,33,2026-04-30,36.25210295,42.64818418,3.219362225,Primary_Maintenance,Auto-Switch,86
Zone_252,Severe,34.40761176,47.45776092,17013,34026,8506.5,219,246144.5505,76130.63437,1144.984318,RescueFront,SR River Route,Low,34.90406226,46.99618656,7,2026-04-04,5.746859081,Generator Service,67,2026-06-03,34.58987155,47.11902237,3.747004803,Primary_Maintenance,Fallback,69
Zone_253,Moderate,32.58654094,46.01520158,5690,11380,2845.0,196,48566.72476,20346.50196,999.441269,ReliefAid Intl,SR Ridge Road,Low,32.87379125,45.91689215,6,2026-04-03,7.681563631,Routine Inspection,49,2026-05-16,33.01179787,45.41734539,6.849982398,Route_Disruption,Primary,59
Zone_254,Severe,32.62592896,46.9757208,30069,60138,15034.5,246,521108.9863,178953.424,1534.868593,HopeBridge,R-09 Hill Corridor,Medium,32.53467,47.27479422,10,2026-04-07,6.686636755,Routine Inspection,52,2026-05-19,32.55874056,47.29878802,7.13985189,Conflict_Risk_High,Auto-Switch,71
Zone_255,Critical,35.42782644,47.2738734,21873,43746,10936.5,134,122535.0512,88732.38024,564.2652114,SolidarityAid,SR Harbor Link,Low,35.75117391,47.29657067,6,2026-04-03,6.178746097,Generator Service,66,2026-06-02,35.45455486,46.9925857,3.202908511,Route_Disruption,Primary,36
Zone_256,Severe,34.15152947,45.43063411,28248,56496,14124.0,158,362610.3699,80644.32717,391.5925791,MedGlobal,SR Lake Access,Low,34.33213334,45.48067285,4,2026-04-01,5.673297361,Routine Inspection,91,2026-06-27,34.58609219,45.36395796,7.013637516,Route_Disruption,Auto-Switch,48
Zone_257,Moderate,33.00262363,45.10467811,28624,57248,14312.0,107,208020.2018,139134.3982,592.0818155,GlobalRelief,R-31 Eastern Bypass,Low,33.29259839,44.70184279,13,2026-04-10,6.699308409,Structural Check,37,2026-05-04,32.90140527,44.5834114,8.869517677,Conflict_Risk_Medium,Primary,70
Zone_258,Moderate,34.45797273,44.58256446,15748,31496,7874.0,68,121089.2227,29170.21816,576.0841652,ReliefAid Intl,SR Harbor Link,Low,34.77317911,44.21489502,5,2026-04-02,4.727749977,Routine Inspection,66,2026-06-02,34.74021182,45.00613209,8.056213241,Route_Disruption,Fallback,63
Zone_259,Severe,32.32104469,43.90167953,34061,68122,17030.5,168,274050.684,99545.96565,1171.986489,SolidarityAid,R-22 Desert Track,Medium,31.90577337,44.07867913,13,2026-04-10,2.627747775,Routine Inspection,74,2026-06-10,32.229488,43.99342415,3.918295727,Conflict_Risk_Medium,Auto-Switch,51
Zone_260,Critical,34.90985701,44.60757577,29170,58340,14585.0,134,342284.8971,79773.96291,542.0716463,ReliefAid Intl,SR Coastal Highway,High,35.0328299,44.78262239,7,2026-04-04,2.259909837,Structural Check,62,2026-05-29,34.79468768,45.16979564,7.147322533,Route_Disruption,Auto-Switch,81
Zone_261,Moderate,33.34496702,46.64327793,13024,26048,6512.0,213,65419.60556,41143.27803,2006.397635,RescueFront,SR Coastal Highway,Medium,32.85175258,47.12238133,4,2026-04-01,5.113654255,Vehicle Maintenance,36,2026-05-03,33.7092549,46.63693812,7.705767501,Primary_Maintenance,Auto-Switch,35
Zone_262,Moderate,35.9877955,45.61154059,21678,43356,10839.0,82,259179.3242,106415.1153,755.2091876,ReliefAid Intl,R-31 Eastern Bypass,Low,35.53125175,45.82349357,4,2026-04-01,5.895395284,Vehicle Maintenance,51,2026-05-18,35.53256718,46.22953653,3.260618412,Conflict_Risk_High,Fallback,54
Zone_263,Critical,33.55180979,47.35513974,10488,20976,5244.0,123,149287.7541,35878.03381,354.7486781,ReliefAid Intl,SR Coastal Highway,Medium,33.9557898,47.34838324,11,2026-04-08,2.512518699,Structural Check,34,2026-05-01,33.32583016,47.90375523,8.987433681,Conflict_Risk_High,Primary,95
Zone_264,Severe,34.27610075,44.66028009,25411,50822,12705.5,102,347263.8215,126294.506,138.1853431,ReliefAid Intl,SR Coastal Highway,Medium,34.30366447,45.01760791,10,2026-04-07,3.864873068,Routine Inspection,44,2026-05-11,33.88994193,44.76732389,9.343871781,Conflict_Risk_High,Fallback,39
Zone_265,Moderate,32.0581027,45.64253747,16035,32070,8017.5,122,186898.861,62254.99781,935.9569618,ReliefAid Intl,R-09 Hill Corridor,Low,32.29400469,45.24701046,11,2026-04-08,4.093209339,Generator Service,50,2026-05-17,31.86085662,46.24998829,8.953165914,Primary_Maintenance,Fallback,55
Zone_266,Moderate,32.36223444,45.78784532,24296,48592,12148.0,175,504942.1198,65850.59492,1478.486162,GlobalRelief,R-09 Hill Corridor,High,32.70073543,45.73714114,7,2026-04-04,5.658170979,Structural Check,118,2026-07-24,31.98475919,45.54016956,8.772420276,Primary_Maintenance,Fallback,34
Zone_267,Moderate,33.96246778,45.55018297,31293,62586,15646.5,36,216126.1637,158026.3241,349.5881194,SolidarityAid,SR River Route,Medium,34.41205455,45.33729208,9,2026-04-06,3.810135964,Generator Service,46,2026-05-13,34.07363567,45.362082,8.214756389,Route_Disruption,Primary,97
Zone_268,Moderate,34.39969417,46.21580264,32172,64344,16086.0,25,454073.5128,70503.27641,225.2131887,RescueFront,R-04 Pine Road,High,34.76904702,45.82044045,6,2026-04-03,2.621715897,Vehicle Maintenance,85,2026-06-21,34.8171333,45.57947177,7.434024219,Route_Disruption,Fallback,79
Zone_269,Severe,35.00010274,43.42460081,26128,52256,13064.0,166,136932.3628,55441.39248,1063.198944,ReliefAid Intl,R-31 Eastern Bypass,Medium,34.98341419,43.68810289,11,2026-04-08,3.071568816,Structural Check,79,2026-06-15,35.40136103,43.54948208,7.750389035,Route_Disruption,Auto-Switch,46
Zone_270,Severe,33.45831289,45.07418267,23257,46514,11628.5,203,126125.3525,81923.12252,1171.405624,ReliefAid Intl,SR Coastal Highway,Medium,33.2942832,45.0849747,7,2026-04-04,3.13066071,Generator Service,36,2026-05-03,33.26861424,45.38487622,8.644767053,Route_Disruption,Fallback,40
Zone_271,Moderate,35.47490943,42.62534882,17855,35710,8927.5,249,276347.4949,41142.31643,311.3917959,ReliefAid Intl,SR River Route,Low,35.12940267,42.68211754,6,2026-04-03,7.477517137,Routine Inspection,79,2026-06-15,36.159174,43.00827568,7.637489209,Conflict_Risk_High,Primary,82
Zone_272,Moderate,36.30061199,44.30706797,24642,49284,12321.0,47,377524.5205,25761.61358,151.335677,ReliefAid Intl,R-31 Eastern Bypass,Medium,36.20093347,44.21832315,7,2026-04-04,3.848077965,Structural Check,89,2026-06-25,36.4320081,43.81681077,5.294088697,Route_Disruption,Auto-Switch,79
Zone_273,Moderate,35.89925494,44.92600241,7817,15634,3908.5,213,168539.7594,33155.70885,1094.081479,HopeBridge,SR Coastal Highway,Low,35.76574852,44.88633964,9,2026-04-06,6.64549627,Generator Service,112,2026-07-18,35.75841537,44.84782511,5.631727715,Primary_Maintenance,Primary,37
